,Layout,Rent,Address,CleanAddress,Space,Pricing,Location
0,1 bd,2425,"Parkside Manor | 14831 90th Ave, Jamaica, NY"," 14831 90th Ave, Jamaica, NY","$2,940+ 2 bds ","$2,425+ 1 bd","('40.704538', '-73.802277')"
1,2 bds,2940,"Parkside Manor | 14831 90th Ave, Jamaica, NY"," 14831 90th Ave, Jamaica, NY","$2,940+ 2 bds ","$2,425+ 1 bd","('40.704538', '-73.802277')"
2,Studio,1795,"Fairfield Manor at Douglaston | 43 Douglaston Pkwy, Little Neck, NY"," 43 Douglaston Pkwy, Little Neck, NY","$2,345+ 1 bd$2,795+ 2 bds ","$1,795+ Studio","('40.762795249999996', '-73.74282150893399')"
3,1 bd,2345,"Fairfield Manor at Douglaston | 43 Douglaston Pkwy, Little Neck, NY"," 43 Douglaston Pkwy, Little Neck, NY","$2,345+ 1 bd$2,795+ 2 bds ","$1,795+ Studio","('40.762795249999996', '-73.74282150893399')"
4,2 bds,2795,"Fairfield Manor at Douglaston | 43 Douglaston Pkwy, Little Neck, NY"," 43 Douglaston Pkwy, Little Neck, NY","$2,345+ 1 bd$2,795+ 2 bds ","$1,795+ Studio","('40.762795249999996', '-73.74282150893399')"
5,1 bd,158,"Noonan Towers | 939 Woodycrest Ave, Bronx, NY"," 939 Woodycrest Ave, Bronx, NY",nan,"$1,581+ 1 bd","('40.830961900000005', '-73.9296344695851')"
6,Studio,1700,"Park Haven Place | 88 153rd St, Jamaica, NY"," 88 153rd St, Jamaica, NY","$2,199+ 1 bd$2,599+ 2 bds ","$1,700+ Studio","('40.7053893', '-73.8039833')"
7,1 bd,2199,"Park Haven Place | 88 153rd St, Jamaica, NY"," 88 153rd St, Jamaica, NY","$2,199+ 1 bd$2,599+ 2 bds ","$1,700+ Studio","('40.7053893', '-73.8039833')"
8,2 bds,2599,"Park Haven Place | 88 153rd St, Jamaica, NY"," 88 153rd St, Jamaica, NY","$2,199+ 1 bd$2,599+ 2 bds ","$1,700+ Studio","('40.7053893', '-73.8039833')"
9,Studio,2000,"Alvista Rise | 147-25 94th Ave, Jamaica, NY"," 147-25 94th Ave, Jamaica, NY","$2,300+ 1 bd$2,750+ 2 bds ","$2,000+ Studio","('40.6980748', '-73.8098033')"
10,1 bd,2300,"Alvista Rise | 147-25 94th Ave, Jamaica, NY"," 147-25 94th Ave, Jamaica, NY","$2,300+ 1 bd$2,750+ 2 bds ","$2,000+ Studio","('40.6980748', '-73.8098033')"
11,2 bds,2750,"Alvista Rise | 147-25 94th Ave, Jamaica, NY"," 147-25 94th Ave, Jamaica, NY","$2,300+ 1 bd$2,750+ 2 bds ","$2,000+ Studio","('40.6980748', '-73.8098033')"
12,Studio,159,"ALTA by Common | 2922 Northern Blvd, Long Island City, NY"," 2922 Northern Blvd, Long Island City, NY",nan,"$1,594+ Studio","('40.7625685', '-73.8045805')"
